Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,48.349998,48.950001,48.310001,48.619999,45.066147,8429900
2019-12-10,48.549999,48.740002,47.660000,47.919998,44.417316,6527300
2019-12-11,48.049999,48.369999,47.560001,47.849998,44.352428,9979700
2019-12-12,48.000000,48.910000,47.860001,48.910000,45.502480,8498200
2019-12-13,48.860001,49.500000,48.360001,48.529999,45.148952,18029900
2019-12-16,48.759998,49.250000,47.869999,47.869999,44.534931,12007400
2019-12-17,48.139999,48.950001,47.919998,48.950001,45.539696,10542000
2019-12-18,48.750000,50.709999,48.630001,50.639999,47.111950,20459600
2019-12-19,50.299999,51.160000,50.080002,51.160000,47.595722,12193800
2019-12-20,50.950001,51.099998,50.240002,51.060001,47.502693,9537300
2019-12-23,50.959999,52.599998,50.740002,52.599998,48.935398,8803400
2019-12-26,52.480000,53.259998,52.349998,53.200001,49.493603,10031600
2019-12-27,53.349998,53.669998,52.259998,52.970001,49.279625,8633100
2019-12-30,53.099998,53.340000,52.820000,52.820000,49.140072,7839900
2020-01-02,53.349998,53.970001,53.169998,53.799999,50.051796,13159900
2020-01-03,53.099998,53.910000,52.849998,53.709999,49.968071,9465400
2020-01-06,53.400002,53.400002,52.450001,53.000000,49.307533,9999900
2020-01-07,53.000000,53.029999,52.290001,52.599998,48.935398,10638500
2020-01-08,52.759998,52.990002,52.040001,52.119999,48.488842,21468600
2020-01-09,52.200001,52.330002,50.730000,51.060001,47.502693,24743000
2020-01-10,51.160000,51.439999,49.560001,49.860001,46.386295,15348200
2020-01-13,49.980000,50.500000,49.610001,50.419998,46.907284,14181900
2020-01-14,50.279999,50.490002,49.750000,50.150002,46.656090,8765000
2020-01-15,49.930000,50.020000,48.849998,49.230000,45.800182,14501900
2020-01-16,49.470001,49.779999,48.980000,49.450001,46.004856,11872600
2020-01-17,49.860001,50.270000,49.730000,50.119999,46.628178,11421800
2020-01-20,50.000000,50.349998,49.270000,49.799999,46.330475,8498300
2020-01-21,49.549999,49.650002,48.049999,48.360001,44.990799,14479200
2020-01-22,48.810001,48.990002,48.290001,48.740002,45.344315,10459400
2020-01-23,48.540001,51.480000,48.380001,51.480000,47.893425,21624500
2020-01-24,51.400002,51.480000,50.799999,50.799999,47.260799,9150300
2020-01-27,50.060001,51.070000,49.730000,50.299999,46.795631,12015900
2020-01-28,50.799999,51.150002,50.080002,50.709999,47.177071,7646400
2020-01-29,51.000000,51.380001,49.360001,49.459999,46.014160,8400200
2020-01-30,48.700001,49.990002,48.369999,49.799999,46.330475,12539900
2020-01-31,49.110001,49.119999,48.220001,48.540001,45.158253,16126400
2020-02-03,48.549999,49.139999,48.009998,48.779999,45.381542,10201400
2020-02-04,49.290001,49.599998,48.250000,48.250000,44.888466,11766600
2020-02-05,49.200001,51.290001,49.099998,50.400002,46.888672,23691700
2020-02-06,51.000000,51.049999,49.250000,49.549999,46.097893,9662900
2020-02-07,49.549999,50.320000,49.259998,49.599998,46.144409,7795000
2020-02-10,49.709999,49.990002,48.880001,49.110001,45.688545,7785300
2020-02-11,49.919998,51.650002,49.680000,51.320000,47.744579,18096500
2020-02-12,51.869999,52.360001,50.669998,51.619999,48.023682,16617100
2020-02-13,51.349998,51.540001,50.450001,50.820000,47.279411,13806300
2020-02-14,50.880001,50.959999,49.570000,49.849998,46.376991,10022700
2020-02-17,50.080002,50.240002,49.099998,49.099998,45.679249,6749000
2020-02-18,48.959999,49.900002,48.700001,49.570000,46.116501,8929100
2020-02-19,49.500000,50.330002,49.150002,49.689999,46.228142,11148100
2020-02-20,50.000000,50.049999,48.680000,49.180000,45.753670,12052200
2020-02-21,48.810001,49.220001,48.330002,49.220001,45.790878,6435600
2020-02-26,null,null,null,null,null,null
2020-02-27,44.799999,47.590000,44.380001,45.790001,42.983116,31472900
2020-02-28,46.150002,46.860001,44.570000,46.860001,43.987526,26379200
2020-03-02,46.820000,47.490002,46.299999,47.150002,44.259747,13210200
2020-03-03,46.709999,47.360001,45.110001,45.770000,42.964340,21553700
2020-03-04,46.450001,46.689999,45.000000,45.820000,43.011280,19234000
2020-03-05,45.259998,45.570000,42.299999,43.110001,40.467392,25846800
2020-03-06,41.799999,42.720001,41.240002,42.299999,39.707047,19025700
2020-03-09,38.450001,40.189999,36.299999,37.630001,35.323318,25174600
2020-03-10,39.520000,40.689999,37.630001,39.610001,37.181950,32436700
2020-03-11,38.599998,38.820000,34.230000,36.189999,33.971588,25003500
